1	https://s3-media1.fl.yelpcdn.com/bphoto/YMZDvRjbbtvR23_n1HGB0w/o.jpg	97	1
2	https://s3-media3.fl.yelpcdn.com/bphoto/yVnQkwrnl36U3LTDGWa1Ow/o.jpg	76	10
3	https://s3-media3.fl.yelpcdn.com/bphoto/uWPP2LXUMWa7y_vGzyb2qg/o.jpg	12	7
4	https://s3-media3.fl.yelpcdn.com/bphoto/yVnQkwrnl36U3LTDGWa1Ow/o.jpg	63	4
5	https://s3-media4.fl.yelpcdn.com/bphoto/hQDnWccGdgPHJDfa4Ht5Ig/o.jpg	71	3
6	https://s3-media4.fl.yelpcdn.com/bphoto/hQDnWccGdgPHJDfa4Ht5Ig/o.jpg	78	6
7	https://s3-media4.fl.yelpcdn.com/bphoto/hQDnWccGdgPHJDfa4Ht5Ig/o.jpg	99	4
8	https://s3-media1.fl.yelpcdn.com/bphoto/oAdfYdes8tbm7LtdLwoirg/o.jpg	25	8
9	https://s3-media1.fl.yelpcdn.com/bphoto/Hcl8zR7tBbMKKudXtzbEMA/o.jpg	61	1
10	https://s3-media2.fl.yelpcdn.com/bphoto/jGNsTWAg3B2eb5BRwEx1lA/o.jpg	26	1
11	https://s3-media1.fl.yelpcdn.com/bphoto/9_Rw4GinB050sDzECTJZ7g/o.jpg	15	3
12	https://s3-media1.fl.yelpcdn.com/bphoto/4PKpYavKII2S5t4LyqVLJA/o.jpg	75	7
13	https://s3-media4.fl.yelpcdn.com/bphoto/Kau2nVXb86awQuf__6ne1Q/o.jpg	50	5
14	https://s3-media2.fl.yelpcdn.com/bphoto/y4vzzB_fJpzvKnA-Ka-Lcw/o.jpg	68	5
15	https://s3-media3.fl.yelpcdn.com/bphoto/JIZyDmBBl0flCyQsliQqRA/o.jpg	66	6
16	https://s3-media3.fl.yelpcdn.com/bphoto/JIZyDmBBl0flCyQsliQqRA/o.jpg	5	1
17	https://s3-media1.fl.yelpcdn.com/bphoto/4gUN0paSkCNPBqV5evvLkQ/o.jpg	87	2
18	https://s3-media1.fl.yelpcdn.com/bphoto/FBoLLCJsOE2lL-Mbcy9S9w/o.jpg	40	7
19	https://s3-media4.fl.yelpcdn.com/bphoto/Kau2nVXb86awQuf__6ne1Q/o.jpg	70	3
20	https://s3-media4.fl.yelpcdn.com/bphoto/bjVM7EU4EIONpApXD8H5RA/o.jpg	71	10
21	https://s3-media4.fl.yelpcdn.com/bphoto/bjVM7EU4EIONpApXD8H5RA/o.jpg	29	8
